Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Botswana,BWA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,70000,-38268702.25,11270002.83,12233365.11,40813517.29,127851715.1,111550709.4,88438639.82,21074900.89,23793769.12,62154696.15,53611787.59,70404390.66,113583514.2,39921524.13,42186013.02,95889963.04,-8211493.783,-1564184.906,-286949434.1,-14154569.01,70413220.76,71182310.71,100109748.7,95318134.92,36675065.78,57171341.35,30680571.21,407997392.5,418040676.1,390889251.9,420854175,486913109.1,494634226.2,520917902.3,208699298.2,218379837.6,293208060.5,146084155.2,67136806.16,515184471,378554181.5,142522598.3,260575129.4,285955061.9,93607130.03,31792610.41,-319055857.6,709624140.4,741532368.1,467266647.3
Central African Republic,CAF,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,1200000,700000,1500000,-200000,5799999.9,5599999.9,3700000,-2845168.071,6084486.344,22757439.74,5343631.085,5781443.352,9153812.428,4469041.686,5149252.034,2991566.436,8160415.318,11898718.65,-3827452.803,1285233.02,697850.0651,-4874038.732,-10676567.96,-9980132.279,3602275.009,6200570,10925580,1497420,7300590,5976950,889070,5183900,5644290,11300000,15100000,10100000,34670000,56750000,117110000,42280000,61520000,36908460,70035160,1852790,3475010,3000000,7256090,6888750,18003540,25601160,1737360,5409980,24047720,38742450,40406020
Canada,CAN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,1827117680,2273318428,2110873961,3184571501,3723538435,3386183403,2450721216,3371826624,3740191708,5307737031,5813268735,663720808.3,90061244.11,4618560062,5675261449,1256760214,2709677621,8597306054,7196400040,7171648940,8401707941,3514220103,7018240063,4178460317,9541029102,13657593613,8817677647,15182400422,24979208298,27456044687,68303350856,28391098831,24486425377,7011792709,1452416545,25552226941,64302303097,1.20451E+11,70119614333,20951090410,29714744325,38338330427,49368985104,67027866778,64174605786,59986208237,34201872161,25357801000,42603762049,48942300762,29123011879,60189690112,50229920776,42076242120,58797136075
Central Europe and the Baltics,CEB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,0,0,0,0,0,6000000,5000000,25000000,30000000,10000000,18000000,14000000,16000000,28000000,15000000,16000000,12000000,15000000,11000000,646819000,1849041210,2522640712,5563094009,5377514695,12558106072,11262472731,14298828887,19665293910,22103118135,23562956308,21625801493,26481834433,20414105078,43043918533,74726630916,81628100566,1.53393E+11,1.38205E+11,30444672817,21282742016,50153510101,39375483160,15731078031,53836855850,23462819796,1.16332E+11,30937237489,-18812850495,1.5369E+11,2.13073E+11,1.21884E+11,81996959811,4990033308,22177040803
Switzerland,CHE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,642643620.5,777125995.9,1267334792,2122388475,2320291937,405248411.1,2497180494,5544796310,2838789161,1128487634,1706937974,3682699145,4158247960,4880219416,8391921106,11345529735,14541329308,23080879763,9765012889,8258050580,19721053893,7102294153,2664910821,53760772986,48688296543,2990936685,47658570355,17670735603,20764483835,39943494322,-24926465857,21003091522,1.18752E+11,1.66801E+11,1.43236E+11,-1.60388E+11,20367751265,-2.41501E+11,-1.23287E+11,-16057258696,-88899521142,-1.12058E+11
Channel Islands,CHI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,12330000,-18969999.9,-1100000,-4799999.9,2310000,50000000,-1000000,21000000,181000000,244000000,213000000,383000000,401000000,135000000,78000000,144300000,315500000,890500000,967900000,1283500000,661200000,822700000,936100000,1034300000,2582100000,2957000000,4814616000,5271400000,4627817978,8761016218,4860015668,4199763049,2549923142,3485728422,4968731408,5990831829,4755333483,10545224588,18811777951,12750321999,14849443157,26369463389,31801970676,21120756844,25527831849,17766285629,11362832162,5237183518,7942631935,13579090979,11447397289,15176902319,18771990469,18377361862,12521388616
China,CHN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,80000,57000000,265000000,430000000,636000000,1258000000,1659000000,1875000000,2314000000,3194000000,3393000000,3487000000,4366000000,11156000000,27515000000,33787000000,35849200000,40180000000,45439000000,45644000000,41014000000,42095300000,47053000000,53073618897,57900937467,68117272181,1.04109E+11,1.24082E+11,1.56249E+11,1.71535E+11,1.31057E+11,2.43703E+11,2.80072E+11,2.41214E+11,2.90928E+11,2.68097E+11,2.42489E+11,1.7475E+11,1.66084E+11,2.35365E+11,1.8717E+11,2.53096E+11,3.44075E+11,1.90204E+11,51338076802,18556141173
Cote d'Ivoire,CIV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,30699999.9,15699999.9,18699999.9,51000000,32600000,69060000,44780000,14650000,83310000,74750000,94659999.9,32750000,47469999.9,37530000,21739999.9,29160000,70750000,87510000,51700000,18489999.9,48434430,18524890,69053840,175153530,117538570,211760840,269194530,415458080,760099130,235348770,234701730,272679900,212580420,165390570,282979830,349059586.5,350964618.6,443801751.4,468377743.9,397624744.3,358468317.3,301972462.5,330255520.7,407592122.1,439356961.2,494408755.8,577871524.2,975014998.8,620330654.4,848881139.4,712915894.5,1392435143,1599115749,2485137117,3802117860
Cameroon,CMR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,16000000,1700000,3299999.9,3100000,21600000,27100000,16399999.9,8710528.859,40548470.54,62099933.68,129827990,135391025.4,111440362.7,213821207.6,17667655.87,316229050.2,-90700157.51,115925994.9,92362479.48,-85734446.55,-112831336.8,-14498049.75,29203775.78,5120733.123,3674320.509,15105727.29,104417058.4,149614497.8,55231294.16,35009801.84,159708006.2,-11668387.38,505256043.3,334888535.9,67984855.64,243601636.5,59122291.34,189581294.6,20995513.74,746276649,536265313.2,653266626.6,527363935.6,547404749.8,725854540.9,694336734.9,663893595.2,814458940.9,765092012.8,1024779238,675186993.7,963531503.5,925681548.6,821546383.2,925275150
"Congo, Dem. Rep.",COD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,6429999.9,5740000,10470000,17719999.9,51979999.9,9119999.9,238430000,18190000,97680000,143849999.9,109620000,69629999.9,-2370000,-192789999.9,-32450000,69189999.9,5549999.9,-55079999.9,-3939999.9,-6110000,-14460000,12390000,-730000,6870000,-1500000,-22350000,24790000,-44350000,61330000,11160000,94190400,102221900,187598690,391254720,409032810,180000000,256100000,1808000000,1726800000,-243200000,2742300000,1596024304,2891607809,1697585831,1499572152,1165720010,932374669.4,1047979483,1407563588,1350994226,1498084808,1677673790,1409373842,2375258887,2915055323
"Congo, Rep.",COG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,5099999.9,48700000,66299999.9,68299999.9,46100000,15400000,2379999.9,1986323.6,4050415.527,16481632.66,40032269.02,30842951.46,35349296.93,56079518.98,34948545.69,12689672.8,22439698.31,43448956.41,9095236.529,-7125213.1,22551560,32753530,2739030,286054320,2990000,112782084.6,62427618.58,-49200799.91,-169664715.5,-68298651.84,-98141674.35,-135479673,200095651.5,220038914.2,88557997.22,801314933.9,1489015781,1424251936,1947972913,1189051286,1522228646,298678855.1,-69249948.22,1878859499,2891102397,4279839199,50608700.35,4416953730,4315250920,-1427679257,-1983178867,-320209517.7,532256250,626473710,603616460
Colombia,COL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,43000000,43128140,18457070,23842600,40889760,37068850,25000000,65000000,107000000,127000000,157137700,265000000,366000000,618000000,584000000,1023000000,674000000,319000000,203000000,576000000,500000000,456900000,728700000,959100000,1446497261,968368273.6,3111676590,5562216362,2828826262,1507907130,2436459923,2541942612,2133698124,1720493455,3115635874,10235417315,6750625311,8885764398,10564155796,8034746177,6429989613,14647048638,15039979139,16210419016,16168701715,11620532646,13857937721,13700880445,11298692774,13989154028,7458624984,9561335277,17182225498,16793702729,14269169295
Comoros,COM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,1919999.9,,0,0,150000,0,0,0,0,7546566.717,3767051.259,3266400.378,393003.1038,2506163.334,-1446978.125,190704.7806,177714.24,889525.0177,510000,20000,384220,271000,93640,1145910,430420,793243.7346,672560.3786,558865.8,778420.2139,7691947.289,4650574.157,13839598.17,8350406.722,23118440.54,10375197.46,4231640,4684558.675,4936699.51,3569823.73,3919473.025,5672348.129,4300803.966,3875846.081,4024772.182,4128667.475,5352754.894,7100000
Cabo Verde,CPV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-8734.1784,2786140.595,597911.68,174023.2565,252601.2166,1744334.228,450471.753,3644068.127,2128443.354,26180647.12,28528007.74,11576610.74,6793745.394,53935025.35,34202238.38,9010186.206,14759046.68,39216510.81,67638273.8,80513541.33,131539968,191764359.2,210903689.3,126003552.2,116200563.6,102246382.2,128009964.8,89297444,180589795.4,96071472.84,126312006.1,111711633.7,103550532.6,122921295,67619883.92,91456883.26,122015529,158735894.9,109932741.8
Costa Rica,CRI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,26345009.9,22100000,25846010,37700000,46310009.9,69022010,61952010,62500000,48600000,43500000,52600000,69600000,28900000,60700000,55900000,69900000,61000000,80300000,122200000,101300000,162500000,178400000,226000000,246700000,297600000,336900000,426950000,409440000,614500000,619469212,723426415.3,621846413.2,723172624.8,774386239.8,1083718486,1528787464,1801002598,2241492021,2436112218,1614614468,1906923793,2733268840,2696295211,3205384977,3242149797,2955521681,2620435491,2924906991,3014543618,2719031329,2103003649,3592802258,3673404329,4687479758,5277358749
Caribbean small states,CSS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,185478499.8,167716171.6,201179837,195880300,274800684.4,116987131.6,162720408.6,110670960.8,143840333.3,141977068.8,289229902,454505555.6,290083333.4,247391666.7,103097352.9,52155758.85,-21418518.42,36087037.04,69234874.53,48674489.07,239532454.9,393283875.5,430553464.1,576065212.1,806069632.4,733926537.7,704064566.1,1529832067,1258822408,1192296131,1411007390,1575395972,1777132501,1647157837,2111650418,2558738588,2906214384,3030703257,5249111174,2535905058,2485081948,2130997242,386949340.1,521253246.6,2476239774,2001766550,1849368612,895923112.9,2109766997,4362342307,3540689092,2664449939,-2377264674,-1356346220,9031546060
Cuba,CUB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70502234.64,69702234.64,-1508379.888,69296089.39,146435754.2,133083798.9,172681564.2,126924996.8,203230453.6,155743256.3,170912620.1,175616794.9,136602563.6,154808190
Cayman Islands,CYM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,1830000,2540000,41009999.9,25719999.9,75109999.9,56549999.9,19559999.9,97120000,19930000,17520000,668240000,453980000,14279999.9,104739999.9,22430000,79459999.9,49040000,-8540000,27490000,459760000,467070000,50310000,1231710000,3150870000,4354110000,6475830000,9358723000,2133108000,2802975000,2602570000,3703461000,9506484000,24820937000,28210535000,19555735000,20298045000,20965962640,31131855110,21489604740,34907994320,46040609770,80501525460,2684234739,2506466934,173644548.8,1080420249,6973848228,-807807825.1,-3144736443,6786752964,35901883940
Cyprus,CYP,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,20199999.9,29600000,36399999.9,37200000,32399999.9,18100000,32399852.81,41409229.36,57026191.23,70533030.88,84973393.79,78304678.27,71520842.97,68357791.44,52686514.25,57954233.56,46319251.91,51964617.64,62147895.56,69749822.21,126615461.4,81820990.74,107441112.7,83432989.4,75174068.6,243136818.6,233749453.8,546519214.6,345398143.2,813054280.1,854874285.7,944742874,1103449726,908147518,1118841809,1161973511,1871897927,2294635571,12403669190,65815356285,32320291309,41942439662,72602027644,25898129367,54154887264,27319647777,3331071356,42234145948,79087120911,1.13114E+11,-75646450885,6626435042,53889706.6,-21298312528,-18587645675
Czechia,CZE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654278424.7,878231739.7,2567564642,1435279128,1286492873,3700169388,6312596676,4987079129,5640707236,8496609036,2021275746,6423465151,13730164683,7132002408,13815656004,8815393022,5271613702,10167834375,4188736491,9433199805,7357578653,8088661930,1699914617,10850612308,11234740946,8324668391,10752120871,8515481808,12890950336,9143600295,11891578043,13051379573
Germany,DEU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,1103338755,1897270696,2102302343,2176992344,690496822.9,1321369938,949983808.6,1603458933,1732552304,-186573401.2,-415839559.6,468263695.1,997855446.9,590664407,531108429,1192024600,1620170657,-1508574621,5173426485,2556702846,4741546059,-2137482963,477658764.4,7517424677,12040789985,15590587107,18638428446,29525738646,86035665071,2.48007E+11,56948542387,51268214891,65401516009,-20408419557,59835195025,87444159239,50847183837,30954735498,56701916795,86037502102,97535403953,65443087632,67199694459,17356720098,62418993509,58132711371,1.08787E+11,1.62251E+11,75463438451,1.76781E+11,1.2761E+11,87215414562,77438957875,47599143489
Djibouti,DJI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,400000,30000,160000,-30000,1980000,700000,170000,220000,20000,-60000,-50000,220000,230000,1230000,420000,600000,-130000,60000,2290106.403,2290106.403,1423579.656,1423579.656,3218527.917,3263542.294,3100365.179,3173513.541,3212901.12,3286049.482,3392958.626,3432346.206,14224542.96,38543559.85,22203341.19,108287709.4,195351140.3,227654582.2,96859684.56,36501032.52,79000230.7,109998255.7,286004467.7,152998238.8,143832186.4,159997974.4,164929862,170000000,174999015.3,158230011,166750130.8,187022847.6,137009451,67819948.25
Dominica,DMA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,0,80000,0,0,0,4799999.9,200000,200000,2300000,3000000,5185185.185,13518518.52,11925925.93,17196296.3,12888888.89,15222222.22,20411111.11,13200000,22600000,54092592.59,17800000,21114814.81,6511111.111,17955555.56,17530960.34,14634125.63,20055378.18,31342402.24,25775900.05,18910614.22,26177000.04,40388728.65,56214627.56,56770072.17,57125819.44,50468508.44,56319360.09,38680839.41,12346929.84,7160376.509,42264926.11,22677207.69,78283172.03,63039788.52,22837135.93,28338715.19,16922305.56,47612624.44,36796264.07
Denmark,DNK,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,104000000,125000000,164000000,212000000,240000000,266942015.5,-190295662.8,75799728.5,89464875.42,223893245.4,104119701,99454249.9,133850097.3,60130799.99,-15356842.12,111103417.6,163266341.1,84660817.12,503338112.9,1089565260,1132146350,1552515351,1017385349,1712766178,5006178362,4139423320,773444115.8,2791671359,6674661469,16847919226,36013297907,9286404806,4430703179,1184825160,-8804165491,12847031342,2385249288,11809448518,2191215666,3779250819,-11501101751,13558894634,-16349825685,680338945.9,6577348987,1842994663,7804020827,3607276300,8764023726,-3801733789,1294050740,16997286703,27627359889,8951417794,18540782142
Dominican Republic,DOM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,71600000,65000000,43500000,34500000,53600000,63900000,60000000,71500000,63600000,17100000,92700000,79700000,-1400000,48200000,68500000,36200000,50000000,89000000,106100000,110000000,132800000,145000000,179700000,190700000,208100000,417400000,134200000,408700000,668900000,1344900000,989000000,1087900000,926000000,616530000,934480000,1118400000,1528700000,2252900000,2728400000,1695300000,1820200000,2197500000,3415900000,1599900000,2385300000,2227300000,2516100000,3597900000,2744500000,2829200000,2460600000,3349700000,4050000000,4750500000,4475900000
Algeria,DZA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,80120000,600000,41490000,51000000,358000000,119000000,187000000,178452646.8,135152172.3,25692486.04,348669038.1,13207259.36,-53569192.64,417641.1628,802668.8741,397788.2971,5316528.378,3711537.9,13018265.02,12091646.8,334914.5642,11638686.45,30000000,1000,1000,1000,270000000,260000000,606600000,291600000,280100000,1113105540,1064960000,637853030,884749030,1156000000,1841000000,1686736540,2638607034,2746930734,2300369124,2571237025,1500402453,1691886708,1502206171,-537792920.9,1638263954,1230243451,1466116068,1381200050,1143918160,869194073,241796029.6,1214378661,1226414841
East Asia & Pacific (excluding high income),EAP,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,417482884.6,514955384.5,533905576.7,1023388711,1164907901,1873082206,1404340315,1001681449,1135772960,924555968.9,1376936767,2273131439,2402953612,2818960513,2837398519,2948205676,3115986509,3923247338,6738630060,8352613405,10388726609,13159916723,21337095439,38802115561,45467084634,50702487675,58558294982,63348869778,59496975483,53026891039,48073062805,52321787567,63358392917,68411568114,83215370133,1.29276E+11,1.52748E+11,1.93532E+11,2.11611E+11,1.55963E+11,2.98437E+11,3.371E+11,3.04476E+11,3.61637E+11,3.2953E+11,3.05948E+11,2.20118E+11,2.39674E+11,3.11E+11,2.60823E+11,3.02638E+11,4.37452E+11,2.78322E+11,1.2455E+11,1.07018E+11
Early-demographic dividend,EAR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,1914402865,1808573667,1117654873,1654247187,-1153401256,5340130964,1366345486,2294355143,3339114290,1990379983,397730711,12754228753,14991603285,8922933501,8873070126,5701590832,6451387070,3547341590,8503024878,8275108510,11467360412,15783449697,17281763502,18195011238,29768908148,33499042939,41162198995,58082012516,51007976411,60996601968,51301541398,59965931307,47293554592,42977020519,63797645764,1.03061E+11,1.42254E+11,1.76176E+11,2.01557E+11,1.34362E+11,1.62522E+11,1.82091E+11,1.77941E+11,2.12905E+11,1.81082E+11,2.12972E+11,2.12851E+11,2.12613E+11,2.30777E+11,2.12226E+11,1.96735E+11,2.77801E+11,2.77275E+11,2.33423E+11,2.70349E+11
East Asia & Pacific,EAS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,1906973498,2243066837,2650359016,2014579663,3526963191,3396343572,3451126412,3025173435,4079689976,4786996830,5994729554,9003513279,8478001554,9088217943,6385573831,7361236504,13718329643,21167805534,25777793319,23722887551,33593356784,27432312639,38083745482,59903206761,72331208095,89651923003,94204888539,1.09179E+11,98107678525,1.29582E+11,1.75116E+11,1.275E+11,1.12941E+11,1.26695E+11,1.98673E+11,1.89052E+11,2.88249E+11,3.96046E+11,3.87221E+11,2.87729E+11,4.97356E+11,5.60658E+11,5.16624E+11,5.91134E+11,6.31243E+11,6.17259E+11,5.28884E+11,5.60859E+11,6.01893E+11,5.32839E+11,5.94305E+11,8.25251E+11,7.1738E+11,4.63747E+11,4.8121E+11
Europe & Central Asia (excluding high income),ECA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,58000000,45000000,43000000,79000000,64000000,114000000,10000000,27000000,34000000,75000000,18000000,95000000,55000000,46000000,113000000,99000000,125000000,115000000,354000000,663000000,715000000,810000000,1208400010,2385820000,1789946000,2947760000,3517695000,5028738000,5237723745,4669143027,4292919263,9222050245,7889333450,11384534383,18460242765,27998176010,43567230674,64993840295,67939497148,46221868634,40138292862,61721521371,52250979257,43878669866,40134442920,44225910958,52513989944,35721733570,32415711362,35787177642,26532291706,39096569186,33363418359,39914968264,35410363544
Europe & Central Asia,ECS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,4502468280,6020436971,6617541587,9854035954,12799281521,10273246606,8273499392,12618809030,13854628515,17607056303,21045826582,16467838715,14710452956,15791206135,9970429000,16902908858,26305041187,39533396089,63558552469,80164206909,1.13097E+11,91204141837,89417781160,95532020225,1.00587E+11,1.50818E+11,1.56967E+11,1.90853E+11,3.54782E+11,6.10339E+11,8.55981E+11,4.56611E+11,4.15146E+11,3.89723E+11,4.42287E+11,1.02246E+12,1.28827E+12,1.88827E+12,1.24779E+12,7.67718E+11,6.90362E+11,1.09824E+12,8.27026E+11,7.55891E+11,6.23726E+11,1.15024E+12,1.34395E+12,9.1977E+11,-1.76809E+11,6.74103E+11,95386171953,5.808E+11,2.53118E+11,-3.14431E+11,1.86834E+11
Ecuador,ECU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,88599999.9,162099999.9,80799999.9,52299999.9,76799999.9,95299999.9,-19900000,34500000,48600000,63400000,70000000,60000000,40000000,50000000,50000000,62000000,81000000,123000000,155000000,160000000,126000000,160000000,178000000,473720000,576330000,452480000,499680000,723950000,869980000,648410000,-23439367.91,538568575.2,783261009.6,871513414,836939593.9,493413835.5,271428852.5,193872526.9,1057404020,308629890.1,165893320.4,646084358.7,567417300.9,727081206.3,772389946.1,1322701337,766570868.1,632393412.3,1390916763,979633496.2,1118946901,649918150.9,882020803.5,481024348.5,317695171.7
"Egypt, Arab Rep.",EGY,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,680000,2310000,30000,700000,130000,8000000,61000000,104777603.4,318166137.2,1216285716,548285715.1,752571429.6,293571429,490000000.7,729142857.6,1177571429,1217428571,947714285.7,1190000000,1250181818,734000000,253000000,459000000,493000000,1256000000,598000000,636000000,890550000,1076000000,1065300000,1235000000,509900000,646900000,237400000,1253300000,5375600000,10042800000,11578100000,9494600000,6711600000,6385600000,-482700000,2797700000,4192200000,4612200000,6925200000,8106800000,7408700000,8141300000,9010100000,5851800000,5122300000,11399900000,9840600000,46578000000
Euro area,EMU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,2687319466,3892857216,5017927466,6553991932,7696387691,6247329414,5074944909,7248983512,9372703584,10307935885,10484468783,9512933191,8274369140,9337466557,9314912358,9960639373,13220773735,23114251788,33951312059,45551979409,60745451146,55020876181,60365211689,59336459872,56657853097,79907064927,94117479063,91587370736,1.74221E+11,3.54036E+11,5.56261E+11,3.21509E+11,2.54206E+11,2.71086E+11,2.71815E+11,6.36067E+11,8.23786E+11,1.28817E+12,6.59738E+11,5.47933E+11,4.77872E+11,8.45036E+11,5.61933E+11,6.00517E+11,4.21127E+11,8.19681E+11,5.99747E+11,5.44155E+11,1.53196E+11,4.32671E+11,-43663806812,5.12667E+11,91420558360,-2.7704E+11,2.37275E+11
Eritrea,ERI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,36669547.22,40797036.65,45493.27759,83222100,27870110,12131630,22766170,24999790,24103660,1431550,15375610,7206500,39000000,91000000,91000000,39000000,41358000,43859000,46511000,49323000,52305000,55468000,61015000,-60671910,-30349590,-31228190,-32045670,2070380,-27949590
Spain,ESP,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,222000000,202000000,268000000,390000000,358000000,682635310.6,477622019.9,607674770,1178156262,1396810449,1492697190,1706766879,1782685066,1622388936,1771829760,1967804468,3450598177,4570700793,7020568174,8428379549,13983611812,12492782829,13275723087,10808165173,8772628137,8281607345,9801379213,9433660065,15714658309,19806975251,40723543114,29016725788,39314607366,31005892771,25642926665,28282647905,35455663078,70291846189,71347116196,7562359637,35969020813,25874478946,19250404232,47143326585,31972292815,23777330434,44962670966,33577736759,63958429157,30322872791,37683095972,64626902394,65488854829,42953066298,34110558634
Estonia,EST,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82271988.64,168371544.6,218447607.2,206807479.4,165850731.4,274049611.9,595587942.5,325892789.4,416214286.8,592889580.2,338234260.4,1038244664,1086893435,3057558405,1758167636,3033145920,1977264597,1866296947,2592255115,1119148299,1787341527,1097942107,1781648554,-715465129.9,925762256.7,1735775304,1273932848,3113489502,3823194189,7554905496,1877817161,5350805152,-3455539861
Ethiopia,ETH,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,5845410.631,0,0,0,0,0,0,0,0,0,0,0,0,,,170000,3500000,17210000,14140000,21930000,288490000,260670000,69980000,134640000,349400000,255000000,465000000,545100000,265111675.5,545257102.2,222000573,108537544,221459581.4,288271568.3,628624806,278562822.2,1343876024,1855052154,2626517918,4142937496,4017159565,3360419369,2548743427,2395799881,4259445795,3669991332,3262966284,3984415920
European Union,EUU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,2899569469,4101957483,5247233595,6849955524,8012974186,6594486585,4895513547,7411236947,9556880497,10674298740,10849499997,9811504830,8777233646,9639295533,9617570869,10479696702,14482696248,23850125598,36143075340,48464549240,64506841224,64773315942,63652843742,69607140948,72276528047,1.10526E+11,1.09979E+11,1.16731E+11,2.20143E+11,4.52758E+11,6.34201E+11,3.6636E+11,2.95298E+11,2.93769E+11,3.14211E+11,7.32554E+11,9.14388E+11,1.47958E+12,8.25461E+11,5.85518E+11,4.80129E+11,9.03652E+11,5.82411E+11,6.13498E+11,4.68473E+11,8.49891E+11,7.29126E+11,5.91455E+11,1.33984E+11,5.82368E+11,1.79062E+11,6.85669E+11,2.38632E+11,-2.59991E+11,2.94994E+11
